Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2023-12-12,18686.8,0.006676540960248732,0.10598680199372715,0.127125,0.0725,0.0002876984126984127,3.1461005220935476
2023-12-13,18751.45,0.006674507849108138,0.10595452735493253,0.12065,0.0725,0.0002876984126984127,3.1560268798039033
2023-12-14,18973.85,0.006451588924163791,0.10241579912733685,0.1232,0.0726,0.00028809523809523806,3.0871792665620887
2023-12-15,19145.05,0.00703777943749947,0.11172128504248584,0.131275,0.0725,0.0002876984126984127,3.3970547720728064
2023-12-18,19155.55,0.00716976024406046,0.11381641539445045,0.139,0.0726,0.00028809523809523806,3.4624680505494325
2023-12-19,19169.25,0.006875314237750649,0.10914222995105895,0.138675,0.0727,0.0002884920634920635,3.3231129389259877
2023-12-20,18779.45,0.006603577202766416,0.10482853825161292,0.1445,0.0727,0.0002884920634920635,3.1272938298916415
2023-12-21,18941.8,0.009392441744599491,0.14910039035923137,0.137575,0.0727,0.0002884920634920635,4.481898381267456
2023-12-22,19054.7,0.009213672390399774,0.14626251483971894,0.137075,0.0727,0.0002884920634920635,4.423006184417318
2023-12-26,19148.85,0.008876851157992664,0.14091564353630592,0.146775,0.0727,0.0002884920634920635,4.282772446736999
2023-12-27,19296.95,0.008520859287686929,0.13526444779076752,0.155575,0.0727,0.0002884920634920635,4.143257660871313
2023-12-28,19399.25,0.008361808801122871,0.13273959959065362,0.1514,0.0728,0.00028888888888888893,4.087697364951964
2023-12-29,19429.15,0.008066121918678818,0.12804571584930788,0.145025,0.0729,0.0002892857142857143,3.949637267498474
2024-01-01,19469.5,0.007696115436853217,0.122172045042953,0.1468,0.0728,0.00028888888888888893,3.776785275669681
2024-01-02,19418.4,0.007358556994281335,0.11681347089098014,0.1458,0.0729,0.0002892857142857143,3.6021587384620943
2024-01-03,19367.15,0.007154909457976715,0.113580666473942,0.140975,0.0729,0.0002892857142857143,3.4935336265316437
2024-01-04,19541.25,0.006971615656017843,0.1106709675728858,0.1333,0.0729,0.0002892857142857143,3.4349249512124516
2024-01-05,19590.6,0.007109086872615639,0.11285325548216939,0.1263,0.0729,0.0002892857142857143,3.51128073225118
2024-01-08,19417.7,0.006825424476201967,0.10835025453890221,0.134625,0.073,0.0002896825396825397,3.341883884544586
2024-01-09,19459.55,0.007305611120994477,0.11597298120899514,0.132625,0.073,0.0002896825396825397,3.5839150617939595
2024-01-10,19517.85,0.007000378620222435,0.11112756547441223,0.1297,0.073,0.0002896825396825397,3.4449354060816404
2024-01-11,19584.35,0.0067357294121303665,0.10692638953872145,0.127675,0.073,0.0002896825396825397,3.3264197664975654
2024-01-12,19745.6,0.006505657149354727,0.10327410559345199,0.131,0.073,0.0002896825396825397,3.2396407281430584
2024-01-15,19885.55,0.00662781158600963,0.10521324715904437,0.13785,0.0731,0.00029007936507936507,3.323663521123308
2024-01-16,19827.55,0.006626289504724911,0.10518908486771682,0.135725,0.0731,0.00029007936507936507,3.313210993685061
2024-01-17,19487.6,0.006513195373713547,0.10339377119533467,0.1508,0.073,0.0002896825396825397,3.201002702870028
2024-01-18,19414.8,0.008602805415350932,0.13656530223898974,0.1407,0.0733,0.0002908730158730159,4.208635642196896
2024-01-19,19606.4,0.00834729118270884,0.1325091395429389,0.138775,0.0735,0.00029166666666666664,4.1243018141285575
2024-01-23,19206.45,0.008395620403868598,0.13327634214441583,0.148525,0.0737,0.00029246031746031745,4.063528021553793
2024-01-24,19451.0,0.010590529665963171,0.168119446491543,0.14375,0.0735,0.00029166666666666664,5.188156699980027
2024-01-25,19393.0,0.010652621592543127,0.16910512526847568,0.13865,0.0735,0.00029166666666666664,5.202947784482603
2024-01-29,19711.65,0.010183315676854493,0.16165512481813424,0.1568,0.0737,0.00029246031746031745,5.055988259142396
2024-01-30,19574.2,0.010752377474164656,0.17068870079599507,0.161025,0.0736,0.00029206349206349207,5.3006490942298115
2024-01-31,19802.1,0.010519267910531812,0.16698820119437532,0.160475,0.0736,0.00029206349206349207,5.2463579634586495
2024-02-01,19777.35,0.010480148294987335,0.16636719654968446,0.14455,0.0736,0.00029206349206349207,5.220357341921044
2024-02-02,19910.8,0.009964610817104199,0.15818329280161103,0.146975,0.0736,0.00029206349206349207,4.997619109863081
2024-02-05,19853.5,0.009604894820006095,0.15247297837601173,0.156175,0.0734,0.0002912698412698413,4.8037298107628885
2024-02-06,20033.75,0.00921593281224312,0.1462983979240525,0.15785,0.0734,0.0002912698412698413,4.651513383547353
2024-02-07,20109.55,0.00909095364324204,0.14431441512261026,0.15505,0.0737,0.00029246031746031745,4.605999537821845
2024-02-08,19987.55,0.008677267383024777,0.1377473493305749,0.158275,0.0739,0.0002932539682539682,4.370290532437139
2024-02-09,19961.5,0.008587055185121305,0.1363152750853121,0.154475,0.0739,0.0002932539682539682,4.3193396416736505
2024-02-12,19675.2,0.008219304678456848,0.13047741677439917,0.160625,0.0739,0.0002932539682539682,4.075552602787866
